School Name,u_school_id,school_district,school_district_id,total_students,teachers,student_teacher_ratio,lunch_free_count,lunch_reduced_count,lunch_total_count,9th,10th,11th,12th,demo_pct_American Indian,demo_pct_Asian,demo_pct_Black,demo_pct_Hispanic,demo_pct_Pacific Islander,demo_pct_White,demo_pct_Two_or_More,Male,Female,HS_ENROLL,Coed,Relig,Community_Type,Charter,Magnet,Relig_subtype,Title 1 School,Title 1 School Wide,type,Street Address,City,State,ZIP,PSS_COUNTY_NO,County FIPS,Locale,County Name
Bronson JrSr High School,2.61E+11,Bronson Community School District,2606960,545,25,21.8,283,43,326,91,82,76,,0,0.005504587,0.001834862,0.203669725,0,0.774311927,0.014678899,0.535779817,0.464220183,249,Yes,None,Rural,No,No,No,No,†,public,450 EAST GRANT ST,BRONSON,MI,49028,,,Rural: Distant,
Brown City High School,2.61E+11,Brown City Community Schools,2607040,362,16.45,22.01,179,23,202,58,51,69,64,0.002762431,0.005524862,0.019337017,0.024861878,0,0.94198895,0.005524862,0.522099448,0.477900552,178,Yes,None,Rural,No,No,No,Yes,Yes,public,4400 Second St PO Box 160,Brown City,MI,48416,,,Rural: Distant,
Buchanan High School,2.61E+11,Buchanan Community Schools,2607140,537,32.2,16.68,187,20,207,119,105,97,104,0.005586592,0.001862197,0.026070764,0.027932961,0,0.886405959,0.052141527,0.482309125,0.517690875,321,Yes,None,Suburban,No,No,No,No,†,public,401 WEST CHICAGO ST,BUCHANAN,MI,49107,,,Suburb: Large,
Bullock Creek High School,2.61E+11,Bullock Creek School District,2607320,518,27.4,18.91,138,16,154,125,142,100,151,0.003861004,0.007722008,0.00965251,0.021235521,0.001930502,0.932432432,0.023166023,0.476833977,0.523166023,367,Yes,None,Rural,No,No,No,No,†,public,1420 SOUTH BADOUR RD,MIDLAND,MI,48640,,,Rural: Fringe,
Burr Oak High School,2.61E+11,Burr Oak Community School District,2607410,80,3.48,22.99,55,9,64,18,25,18,19,0,0,0.0125,0.125,0,0.85,0.0125,0.55,0.45,61,Yes,None,Rural,No,No,No,Yes,Yes,public,PO Box 337,Burr Oak,MI,49030,,,Rural: Distant,
Byron Area High School,2.61E+11,Byron Area Schools,2607530,261,13.37,19.52,87,7,94,63,44,66,88,0.011494253,0.003831418,0,0.022988506,0,0.927203065,0.034482759,0.490421456,0.509578544,173,Yes,None,Rural,No,No,No,Yes,No,public,312 WEST MAPLE ST,BYRON,MI,48418,,,Rural: Fringe,
Byron Center High School,2.61E+11,Byron Center Public Schools,2607560,1306,77.09,16.94,218,38,256,376,332,303,295,0.006125574,0.041347626,0.01914242,0.086523737,0.000765697,0.797856049,0.048238897,0.493108729,0.506891271,1011,Yes,None,Rural,No,No,No,No,†,public,8500 BURLINGAME AVE SW,BYRON CENTER,MI,49315,,,Rural: Fringe,
CA Alternative EdAtlantis,2.61E+11,Carman-ainsworth Community Schools,2607890,80,2.9,27.59,66,1,67,21,22,16,20,0,0,0.6125,0.025,0,0.2625,0.1,0.5375,0.4625,59,Yes,None,Suburban,No,No,No,Yes,Yes,public,G3493 Beveridge Rd,Flint,MI,48532,,,Suburb: Large,
CA Frost Environmental Science Academy Middle High School,2.62E+11,Grand Rapids Public Schools,2616440,367,19,19.32,222,41,263,53,57,48,,0.008174387,0.005449591,0.201634877,0.280653951,0,0.414168937,0.089918256,0.495912807,0.504087193,158,Yes,None,City,No,No,No,Yes,Yes,public,1417 COVELL AVE NW,GRAND RAPIDS,MI,49504,,,City: Midsize,
Cadillac Innovation High School,2.61E+11,Cadillac Area Public Schools,2607590,148,5.21,28.41,108,5,113,40,41,42,25,0.006756757,0,0,0.02027027,0,0.945945946,0.027027027,0.513513514,0.486486486,123,Yes,None,Town,No,No,No,Yes,Yes,public,9600 EAST 13TH ST,CADILLAC,MI,49601,,,Town: Remote,
Cadillac Senior High School,2.61E+11,Cadillac Area Public Schools,2607590,899,39.34,22.85,366,45,411,274,215,208,202,0.004449388,0.006674082,0.012235818,0.03003337,0.003337041,0.917686318,0.025583982,0.512791991,0.487208009,697,Yes,None,Town,No,No,No,Yes,Yes,public,400 LINDEN ST,CADILLAC,MI,49601,,,Town: Remote,
Caledonia High School,2.61E+11,Caledonia Community Schools,2607620,1500,68.73,21.82,218,36,254,413,364,351,372,0,0.020666667,0.010666667,0.066666667,0.000666667,0.854,0.047333333,0.530666667,0.469333333,1128,Yes,None,Suburban,No,Yes,No,No,†,public,9050 KRAFT AVE SE,CALEDONIA,MI,49316,,,Suburb: Large,
Calhoun County Juvenile Home,2.68E+11,Calhoun Intermediate School District,2680200,15,4,3.75,10,0,10,2,,,,0,0,0.2,0,0,0.8,0,0.733333333,0.266666667,2,Yes,None,Rural,No,No,No,No,†,public,14555 18 12 MILE RD,MARSHALL,MI,49068,,,Rural: Fringe,
Calumet High School,2.61E+11,Public Schools Of Calumet Laurium & Keweenaw,2607690,491,26.04,18.86,181,36,217,113,110,110,158,0,0,0.00814664,0.00610998,0,0.971486762,0.014256619,0.484725051,0.515274949,333,Yes,None,Town,No,No,No,No,†,public,57070 MINE ST,CALUMET,MI,49913,,,Town: Remote,
Cambridge Alternative High School,2.62E+11,Garden City Public Schools,2615540,305,12.5,24.4,214,9,223,21,89,102,93,0.003278689,0.003278689,0.298360656,0.032786885,0,0.632786885,0.029508197,0.573770492,0.426229508,212,Yes,None,Suburban,No,No,No,Yes,Yes,public,28901 CAMBRIDGE ST,GARDEN CITY,MI,48135,,,Suburb: Large,
Canton High School,2.63E+11,Plymouth-canton Community Schools,2628560,1957,96.65,20.25,323,50,373,542,473,,,0.002554931,0.170158406,0.10628513,0.042922841,0.000510986,0.636688809,0.040878896,0.499233521,0.500766479,1015,Yes,None,Suburban,No,Yes,No,No,†,public,8415 NORTH CANTON CENTER RD,CANTON,MI,48187,,,Suburb: Large,
Canton Preparatory High School,2.60E+11,Canton Preparatory High School,2601080,581,25.43,22.85,194,26,220,147,114,109,78,0,0.160068847,0.416523236,0.065404475,0.00172117,0.339070568,0.017211704,0.461273666,0.538726334,370,Yes,None,Suburban,Yes,No,Yes,Yes,No,public,46610 CHERRY HILL RD,CANTON,MI,48187,,,Suburb: Large,
Capac JrSr High School,2.61E+11,Capac Community Schools,2607800,331,16.25,20.37,152,14,166,59,60,52,36,0.003021148,0.009063444,0.003021148,0.178247734,0,0.80060423,0.006042296,0.513595166,0.486404834,171,Yes,None,Rural,No,No,No,Yes,Yes,public,541 NORTH GLASSFORD ST,MUSSEY,MI,48014,,,Rural: Distant,
CAPS Academy,2.61E+11,Coopersville Area Public School District,2610830,21,0,†,14,2,16,1,3,5,12,0,0,0.047619048,0.095238095,0,0.80952381,0.047619048,0.619047619,0.380952381,9,Yes,None,Rural,No,Yes,No,Yes,Yes,public,198 EAST ST,COOPERSVILLE,MI,49404,,,Rural: Fringe,
Capstone Academy Charter School SDA South Campus,2.60E+11,Capstone Academy Charter School (sda),2601013,49,2.8,17.5,49,0,49,6,,,,0,0,0.653061224,0.081632653,0,0.244897959,0.020408163,0.571428571,0.428571429,6,Yes,None,City,Yes,No,Yes,Yes,Yes,public,3500 John R Street,Detroit,MI,48201,,,City: Large,
CapstoneWayne Co Juvenile Detention Fac,2.60E+11,Capstone Academy Charter School (sda),2601013,74,3.35,22.09,71,0,71,22,,,,0,0.013513514,0.851351351,0,0,0.135135135,0,0.824324324,0.175675676,22,Yes,None,City,Yes,No,Yes,Yes,Yes,public,1326 St Antoine,Detroit,MI,48226,,,City: Large,
Career and Alternative Pathways to Education Center,2.60E+11,Benton Harbor Area Schools,2604830,96,2.5,38.4,95,0,95,14,19,26,,0,0,0.9375,0.010416667,0,0,0.052083333,0.385416667,0.614583333,59,Yes,None,Suburban,No,Yes,No,Yes,Yes,public,636 PIPESTONE ST,BENTON HARBOR,MI,49022,,,Suburb: Small,
Career Connections Academy,2.64E+11,Wayland Union Schools,2635550,35,1,35,19,0,19,0,6,11,18,0,0,0.028571429,0.085714286,0,0.771428571,0.114285714,0.657142857,0.342857143,17,Yes,None,Town,No,No,No,Yes,Yes,public,870 East Superior Street,Wayland,MI,49348,,,Town: Fringe,
Career Opportunities Center,2.63E+11,Saginaw School District Of The City Of,2630390,9,24.6,0.37,0,3,3,0,0,4,5,0,0,0.222222222,0.111111111,0,0.555555556,0.111111111,0.888888889,0.111111111,4,Yes,None,City,No,No,No,No,†,public,2102 WEISS ST,SAGINAW,MI,48602,,,City: Small,
Career Preparation,2.63E+11,Novi Community School District,2626130,34,2.28,14.91,16,0,16,0,1,4,29,0,0.088235294,0.117647059,0.058823529,0,0.647058824,0.088235294,0.529411765,0.470588235,5,Yes,None,City,No,No,No,Yes,Yes,public,41500 GARDENBROOK RD,Novi,MI,48375,,,City: Small,
CarmanAinsworth High School,2.61E+11,Carman-ainsworth Community Schools,2607890,1138,59.7,19.06,797,65,862,330,292,249,267,0.001757469,0.010544815,0.589630931,0.040421793,0,0.246924429,0.110720562,0.5,0.5,871,Yes,None,Suburban,No,No,No,No,†,public,1300 N Linden Rd,Flint,MI,48532,,,Suburb: Large,
Caro Alternative High School,2.61E+11,Caro Community Schools,2608040,61,2.17,28.11,41,1,42,0,6,15,38,0,0,0.016393443,0.032786885,0,0.93442623,0.016393443,0.508196721,0.491803279,21,Yes,None,Town,No,No,No,Yes,Yes,public,217 N STATE ST,CARO,MI,48723,,,Town: Distant,
Caro High School,2.61E+11,Caro Community Schools,2608040,441,22.98,19.19,201,20,221,115,127,93,99,0.006802721,0.011337868,0.006802721,0.063492063,0,0.884353741,0.027210884,0.514739229,0.485260771,335,Yes,None,Town,No,No,No,No,†,public,301 NORTH HOOPER ST,CARO,MI,48723,,,Town: Distant,
Carrollton High School,2.61E+11,Carrollton Public Schools,2608070,498,25.1,19.84,335,42,377,140,139,127,88,0,0.002008032,0.319277108,0.240963855,0,0.397590361,0.040160643,0.510040161,0.489959839,406,Yes,None,Suburban,No,No,No,Yes,Yes,public,1235 MAPLERIDGE RD,SAGINAW,MI,48604,,,Suburb: Midsize,
Carson CityCrystal Alternative Academy,2.61E+11,Carson City-crystal Area Schools,2608130,49,1,49,39,1,40,4,11,13,,0.020408163,0,0,0.06122449,0.040816327,0.87755102,0,0.530612245,0.469387755,28,Yes,None,Rural,No,No,No,Yes,Yes,public,213 E SHERMAN ST,CARSON CITY,MI,48811,,,Rural: Remote,
Carson CityCrystal High School,2.61E+11,Carson City-crystal Area Schools,2608130,260,11.45,22.71,117,10,127,59,69,55,77,0.003846154,0,0.003846154,0.069230769,0,0.911538462,0.011538462,0.538461538,0.461538462,183,Yes,None,Rural,No,No,No,Yes,Yes,public,PO Box 780,Carson City,MI,48811,,,Rural: Remote,
CarsonvillePort Sanilac HS,2.61E+11,Carsonville-port Sanilac School District,2608160,174,9.55,18.22,92,16,108,20,18,27,,0.005747126,0,0.022988506,0.005747126,0,0.965517241,0,0.528735632,0.471264368,65,Yes,None,Rural,No,No,No,Yes,Yes,public,100 NORTH GOETZE RD,CARSONVILLE,MI,48419,,,Rural: Distant,
CarsonvillePort Sanilac Learning Center,2.61E+11,Carsonville-port Sanilac School District,2608160,48,0.17,282.35,35,2,37,9,10,15,,0.020833333,0,0,0.041666667,0,0.9375,0,0.645833333,0.354166667,34,Yes,None,Rural,No,No,No,Yes,Yes,public,100 NORTH GOETZE RD,CARSONVILLE,MI,48419,,,Rural: Distant,
Casman Alternative Academy,2.60E+11,Casman Alternative Academy,2600152,65,5.02,12.95,62,0,62,28,17,6,3,0.046153846,0,0.030769231,0.092307692,0,0.738461538,0.092307692,0.415384615,0.584615385,51,Yes,None,Town,Yes,Yes,Yes,Yes,Yes,public,225 9TH ST,MANISTEE,MI,49660,,,Town: Remote,
Cass City Jr and Sr High School,2.61E+11,Cass City Public Schools,2608400,454,21.69,20.93,181,30,211,88,85,62,62,0,0.011013216,0.008810573,0.046255507,0.002202643,0.920704846,0.011013216,0.528634361,0.471365639,235,Yes,None,Rural,No,No,No,Yes,Yes,public,4868 SEEGER ST,CASS CITY,MI,48726,,,Rural: Remote,
Cass Technical High School,2.60E+11,Detroit Public Schools Community District,2601103,2405,100.5,23.93,"1,346",34,"1,380",587,637,606,575,0.002494802,0.092723493,0.761746362,0.115176715,0.0004158,0.023700624,0.003742204,0.35010395,0.64989605,1830,Yes,None,City,No,No,No,Yes,Yes,public,2501 2ND AVE,DETROIT,MI,48201,,,City: Large,
Cassopolis Alternative Ed,2.61E+11,Cassopolis Public Schools,2608430,10,0.15,66.67,2,1,3,0,3,2,5,0,0,0.2,0.1,0,0.7,0,0.6,0.4,5,Yes,None,Rural,No,No,No,Yes,Yes,public,22721 DIAMOND COVE ST,CASSOPOLIS,MI,49031,,,Rural: Distant,
Cassopolis High School,2.61E+11,Cassopolis Public Schools,2608430,280,13.78,20.32,148,10,158,83,67,64,66,0.010714286,0.014285714,0.132142857,0.071428571,0,0.6,0.171428571,0.5,0.5,214,Yes,None,Rural,No,No,No,Yes,Yes,public,22721 DIAMOND COVE ST,CASSOPOLIS,MI,49031,,,Rural: Distant,
Cedar Springs High School,2.61E+11,Cedar Springs Public Schools,2608520,1108,48.48,22.85,331,42,373,268,272,262,306,0.007220217,0.007220217,0.008122744,0.064981949,0,0.863718412,0.048736462,0.5,0.5,802,Yes,None,Town,No,No,No,No,†,public,204 EAST MUSKEGON ST,CEDAR SPRINGS,MI,49319,,,Town: Fringe,
Center for Success at Pleasant View,2.62E+11,Lansing Public School District,2621150,21,0,†,16,0,16,1,3,5,12,0,0,0.238095238,0.238095238,0,0.285714286,0.238095238,0.380952381,0.619047619,9,Yes,None,City,No,No,No,Yes,Yes,public,4501 PLEASANT GROVE RD,LANSING,MI,48910,,,City: Midsize,
Center Line High School,2.61E+11,Center Line Public Schools,2608580,626,35.86,17.46,388,44,432,170,160,152,144,0.003194888,0.146964856,0.274760383,0.052715655,0,0.455271565,0.067092652,0.54313099,0.45686901,482,Yes,None,Suburban,No,No,No,No,†,public,26300 Arsenal,Center Line,MI,48015,,,Suburb: Large,
Central High School,2.61E+11,Forest Hills Public Schools,2614610,1136,51.56,22.03,137,9,146,258,290,277,311,0.000880282,0.066021127,0.022887324,0.035211268,0,0.833626761,0.041373239,0.501760563,0.498239437,825,Yes,None,Suburban,No,No,No,No,†,public,5901 HALL ST SE,GRAND RAPIDS,MI,49546,,,Suburb: Large,
Central High School,2.62E+11,Grand Haven Area Public Schools,2616380,91,5.96,15.27,47,3,50,0,16,51,24,0.010989011,0.010989011,0.010989011,0.076923077,0,0.857142857,0.032967033,0.527472527,0.472527473,67,Yes,None,Suburban,No,No,No,Yes,Yes,public,106 SOUTH 6TH ST,GRAND HAVEN,MI,49417,,,Suburb: Midsize,
Central High School,2.63E+11,Traverse City Area Public Schools,2633870,1449,59.04,24.54,331,42,373,348,367,345,389,0.013802622,0.015182885,0.014492754,0.044168392,0.002070393,0.874396135,0.035886818,0.500345066,0.499654934,1060,Yes,None,Town,No,No,No,No,†,public,1150 MILLIKEN DR,TRAVERSE CITY,MI,49686,,,Town: Remote,
Central High School,2.60E+11,Detroit Public Schools Community District,2601103,315,18.8,16.76,269,5,274,97,89,63,66,0,0.003174603,0.987301587,0.00952381,0,0,0,0.536507937,0.463492063,249,Yes,None,City,No,No,No,Yes,Yes,public,2425 Tuxedo Street,Detroit,MI,48206,,,City: Large,
Central Montcalm Middle High School,2.61E+11,Central Montcalm Public Schools,2608640,812,35.4,22.94,468,111,579,131,118,105,,0,0.001231527,0.004926108,0.03817734,0.002463054,0.935960591,0.017241379,0.511083744,0.488916256,354,Yes,None,Rural,No,No,No,No,†,public,1480 SOUTH SHERIDAN RD,STANTON,MI,48888,,,Rural: Distant,
Centreville Jr Sr High School,2.61E+11,Centreville Public Schools,2608670,391,20.7,18.89,144,17,161,66,72,62,71,0.002557545,0.002557545,0.017902813,0.015345269,0,0.920716113,0.040920716,0.588235294,0.411764706,200,Yes,None,Rural,No,No,No,Yes,Yes,public,PO Box 158,Centreville,MI,49032,,,Rural: Distant,
Cesar Chavez High School,2.60E+11,Cesar Chavez Academy,2600139,717,36.1,19.86,691,19,710,199,177,183,158,0.0013947,0,0.044630404,0.920502092,0,0.026499303,0.006973501,0.49930265,0.50069735,559,Yes,None,City,Yes,No,Yes,Yes,Yes,public,4100 MARTIN ST,DETROIT,MI,48210,,,City: Large,
Chandler Park Academy High School,2.60E+11,Chandler Park Academy,2600168,724,25.5,28.39,632,53,685,236,209,171,108,0,0,1,0,0,0,0,0.472375691,0.527624309,616,Yes,None,Suburban,Yes,No,Yes,Yes,Yes,public,20254 Kelly Road,HARPER WOODS,MI,48225,,,Suburb: Large,
CharEm Alternative Schools,2.68E+11,Charlevoix-emmet Isd,2680240,26,2,13,13,0,13,2,1,6,17,0.038461538,0,0.076923077,0.115384615,0,0.692307692,0.076923077,0.5,0.5,9,Yes,None,Town,No,No,No,No,†,public,8568 MERCER RD,CHARLEVOIX,MI,49720,,,Town: Remote,
Charlevoix Middle High School,2.61E+11,Charlevoix Public Schools,2608730,419,25.48,16.44,119,9,128,75,75,70,74,0.021479714,0.009546539,0.016706444,0.035799523,0,0.871121718,0.045346062,0.494033413,0.505966587,220,Yes,None,Rural,No,No,No,Yes,No,public,5200 MARION CENTER RD,CHARLEVOIX,MI,49720,,,Rural: Fringe,
Charlotte Public Schools Project Success,2.61E+11,Charlotte Public Schools,2608770,32,0,†,14,0,14,0,0,4,28,0,0,0,0.0625,0,0.875,0.0625,0.84375,0.15625,4,Yes,None,Town,No,Yes,No,Yes,Yes,public,378 STATE ST,CHARLOTTE,MI,48813,,,Town: Fringe,
Charlotte Senior High School,2.61E+11,Charlotte Public Schools,2608770,681,38,17.92,211,16,227,171,173,173,164,0.001468429,0.008810573,0.010279001,0.057268722,0,0.900146843,0.022026432,0.522760646,0.477239354,517,Yes,None,Town,No,Yes,No,No,†,public,378 STATE ST,CHARLOTTE,MI,48813,,,Town: Fringe,
Charyl Stockwell Academy High School,2.60E+11,Charyl Stockwell Academy,2600100,309,20.45,15.11,57,1,58,89,69,104,47,0,0.009708738,0.012944984,0.055016181,0,0.896440129,0.025889968,0.478964401,0.521035599,262,Yes,None,Suburban,Yes,No,Yes,No,†,public,1032 KARL GREIMEL DR,BRIGHTON,MI,48116,,,Suburb: Midsize,
Cheboygan Area High School,2.61E+11,Cheboygan Area Schools,2608910,659,40.73,16.18,316,30,346,149,138,123,123,0.015174507,0,0.006069803,0.012139605,0,0.855842185,0.1107739,0.509863429,0.490136571,410,Yes,None,Town,No,No,No,No,†,public,801 WEST LINCOLN AVE,CHEBOYGAN,MI,49721,,,Town: Remote,
Chelsea High School,2.61E+11,Chelsea School District,2608940,805,51.77,15.55,88,13,101,188,213,192,212,0,0.011180124,0.002484472,0.053416149,0,0.893167702,0.039751553,0.529192547,0.470807453,593,Yes,None,Town,No,No,No,Yes,No,public,740 NORTH FREER RD,CHELSEA,MI,48118,,,Town: Fringe,
Chesaning Union High School,2.61E+11,Chesaning Union Schools,2609150,423,24.1,17.55,167,19,186,110,117,109,83,0.004728132,0.002364066,0.004728132,0.09929078,0,0.867612293,0.021276596,0.541371158,0.458628842,336,Yes,None,Rural,No,No,No,No,†,public,850 NORTH 4TH ST,CHESANING,MI,48616,,,Rural: Distant,
Chesaning Union Schools Alternative Education,2.61E+11,Chesaning Union Schools,2609150,31,1,31,22,1,23,0,2,12,17,0,0,0,0.096774194,0,0.870967742,0.032258065,0.483870968,0.516129032,14,Yes,None,Rural,No,No,No,Yes,Yes,public,850 NORTH 4TH ST,CHESANING,MI,48616,,,Rural: Distant,
Chippewa Hills High School,2.61E+11,Chippewa Hills School District,2609560,509,26.7,19.06,250,33,283,170,131,96,112,0.023575639,0,0.00589391,0.037328094,0,0.878192534,0.055009823,0.504911591,0.495088409,397,Yes,None,Rural,No,No,No,Yes,Yes,public,3226 ARTHUR RD,REMUS,MI,49340,,,Rural: Remote,
Chippewa Valley Adult and Mohegan Alt Educ,2.61E+11,Chippewa Valley Schools,2609570,147,12.6,11.67,93,4,97,0,8,26,113,0.006802721,0.006802721,0.183673469,0.081632653,0,0.653061224,0.068027211,0.639455782,0.360544218,34,Yes,None,Suburban,No,No,No,Yes,Yes,public,19230 CASS AVE,CLINTON TWP,MI,48038,,,Suburb: Large,
Chippewa Valley High School,2.61E+11,Chippewa Valley Schools,2609570,2335,101.6,22.98,777,101,878,569,623,553,590,0.000428266,0.026124197,0.185438972,0.06124197,0.000428266,0.670235546,0.056102784,0.491648822,0.508351178,1745,Yes,None,Suburban,No,Yes,No,Yes,No,public,18300 19 MILE RD,CLINTON TWP,MI,48038,,,Suburb: Large,
CHSHorizons School,2.61E+11,Public Schools Of Calumet Laurium & Keweenaw,2607690,68,4.5,15.11,56,1,57,8,7,17,36,0.014705882,0,0.014705882,0.014705882,0,0.926470588,0.029411765,0.676470588,0.323529412,32,Yes,None,Rural,No,No,No,Yes,Yes,public,57070 MINE ST,CALUMET,MI,49913,,,Rural: Distant,
Churchill Community Ed Center,2.63E+11,Royal Oak Schools,2630300,101,7.53,13.41,52,5,57,0,0,23,67,0.00990099,0.00990099,0.079207921,0.059405941,0,0.762376238,0.079207921,0.564356436,0.435643564,23,Yes,None,Suburban,No,No,No,Yes,Yes,public,707 GIRARD AVE,ROYAL OAK,MI,48073,,,Suburb: Large,
Churchill High School,2.62E+11,Livonia Public Schools School District,2621840,1283,72.33,17.74,330,41,371,338,327,285,333,0.00233827,0.053780203,0.156664069,0.056118472,0,0.696024942,0.035074045,0.498830865,0.501169135,950,Yes,None,City,No,No,No,No,†,public,8900 NEWBURGH RD,LIVONIA,MI,48150,,,City: Small,
City MiddleHigh,2.62E+11,Grand Rapids Public Schools,2616440,907,40.63,22.32,354,84,438,155,145,136,126,0.002205072,0.055126792,0.130099228,0.248070562,0,0.50275634,0.061742007,0.413450937,0.586549063,436,Yes,None,City,No,No,No,Yes,Yes,public,1720 Plainfield Ave NE,GRAND RAPIDS,MI,49505,,,City: Midsize,
Clara B Ford Academy SDA,2.60E+11,Clara B. Ford Academy (sda),2600947,51,10.4,4.9,51,0,51,16,10,,,0.019607843,0,0.490196078,0.039215686,0,0.411764706,0.039215686,0,1,26,Yes,None,Suburban,Yes,No,Yes,Yes,Yes,public,20651 WEST WARREN ST,DEARBORN HEIGHTS,MI,48127,,,Suburb: Large,
Clare High School,2.61E+11,Clare Public Schools,2609750,443,29.18,15.18,144,9,153,124,110,99,110,0.009029345,0.002257336,0.004514673,0.027088036,0.002257336,0.93227991,0.022573363,0.546275395,0.453724605,333,Yes,None,Town,No,No,No,Yes,Yes,public,201 EAST STATE ST,CLARE,MI,48617,,,Town: Distant,
Clare Pioneer High School,2.61E+11,Clare Public Schools,2609750,40,4.02,9.95,31,1,32,0,11,11,18,0,0,0,0.05,0,0.95,0,0.45,0.55,22,Yes,None,Rural,No,No,No,Yes,Yes,public,201 EAST STATE ST,CLARE,MI,48617,,,Rural: Fringe,
Clarenceville High School,2.61E+11,Clarenceville School District,2609840,740,63.6,11.64,398,27,425,196,187,180,175,0.002702703,0.022972973,0.454054054,0.044594595,0,0.409459459,0.066216216,0.466216216,0.533783784,563,Yes,None,City,No,No,No,Yes,Yes,public,20155 MIDDLEBELT RD,LIVONIA,MI,48152,,,City: Small,
Clarkston High School,2.61E+11,Clarkston Community School District,2609900,1579,80.27,19.67,201,16,217,0,499,532,548,0.003166561,0.018999367,0.02279924,0.062064598,0,0.873970868,0.018999367,0.497783407,0.502216593,1031,Yes,None,Suburban,No,No,No,No,†,public,6093 FLEMINGS LAKE RD,CLARKSTON,MI,48346,,,Suburb: Large,
Clarkston Junior High School,2.61E+11,Clarkston Community School District,2609900,1107,61.59,17.97,197,23,220,555,0,0,0,0.000903342,0.024390244,0.019873532,0.066847335,0,0.858175248,0.029810298,0.514001807,0.485998193,555,Yes,None,Suburban,No,No,No,No,†,public,6595 WALDON RD,CLARKSTON,MI,48346,,,Suburb: Large,
Clawson High School,2.61E+11,Clawson Public Schools,2609930,402,25.6,15.7,137,11,148,87,90,115,110,0,0.002487562,0.144278607,0.059701493,0.002487562,0.71641791,0.074626866,0.554726368,0.445273632,292,Yes,None,Suburban,No,No,No,No,†,public,101 John M Ave,Clawson,MI,48017,,,Suburb: Large,
ClimaxScotts High School,2.61E+11,Climax-scotts Community Schools,2610020,288,16.33,17.64,105,33,138,43,43,39,,0.003472222,0.010416667,0,0.107638889,0,0.847222222,0.03125,0.520833333,0.479166667,125,Yes,None,Rural,No,No,No,Yes,Yes,public,372 SOUTH MAIN ST,CLIMAX,MI,49034,,,Rural: Fringe,
ClimaxScotts Virtual Academy,2.61E+11,Climax-scotts Community Schools,2610020,36,0.81,44.44,27,0,27,4,6,,,0,0.027777778,0.166666667,0.027777778,0,0.75,0.027777778,0.277777778,0.722222222,10,Yes,None,Rural,No,No,No,Yes,Yes,public,372 SOUTH MAIN ST,CLIMAX,MI,49034,,,Rural: Fringe,
Clinton High School,2.61E+11,Clinton Community Schools,2610050,376,19.81,18.98,89,8,97,85,117,95,79,0.005319149,0.007978723,0.021276596,0.058510638,0,0.89893617,0.007978723,0.545212766,0.454787234,297,Yes,None,Town,No,No,No,No,†,public,340 EAST MICHIGAN AVE,CLINTON,MI,49236,,,Town: Distant,
Clinton Virtual JrSr High School,2.61E+11,Clinton Community Schools,2610050,10,2.74,3.65,3,0,3,1,4,4,,0,0,0,0.1,0,0.9,0,0.8,0.2,9,Yes,None,Town,No,No,No,Yes,Yes,public,341 E MICHIGAN AVE,CLINTON,MI,49236,,,Town: Distant,
Clintondale High School,2.61E+11,Clintondale Community Schools,2610080,382,24,15.92,287,12,299,102,110,92,78,0.002617801,0.010471204,0.636125654,0.047120419,0,0.248691099,0.054973822,0.52617801,0.47382199,304,Yes,None,Suburban,No,No,No,Yes,Yes,public,35200 LITTLE MACK AVE,CLINTON TOWNSHIP,MI,48035,,,Suburb: Large,
Clio Area High School,2.61E+11,Clio Area School District,2610110,824,34.9,23.61,324,53,377,216,216,188,204,0,0.001213592,0.020631068,0.037621359,0.001213592,0.902912621,0.036407767,0.512135922,0.487864078,620,Yes,None,Suburban,No,No,No,No,†,public,1 MUSTANG DR,CLIO,MI,48420,,,Suburb: Large,
Cody High School,2.60E+11,Detroit Public Schools Community District,2601103,498,33.5,14.87,415,5,420,150,138,105,105,0.002008032,0,0.969879518,0.004016064,0,0.024096386,0,0.596385542,0.403614458,393,Yes,None,City,No,No,No,Yes,Yes,public,18445 CATHEDRAL ST,DETROIT,MI,48228,,,City: Large,
Coldwater High School,2.61E+11,Coldwater Community Schools,2610140,948,36,26.33,461,46,507,223,227,239,259,0.001054852,0.003164557,0.009493671,0.113924051,0,0.844936709,0.02742616,0.509493671,0.490506329,689,Yes,None,Town,No,Yes,No,No,†,public,275 NORTH FREMONT ST,COLDWATER,MI,49036,,,Town: Distant,
Coleman JuniorSenior High School,2.61E+11,Coleman Community Schools,2610200,293,16.18,18.11,146,20,166,57,48,46,55,0.010238908,0,0.013651877,0.037542662,0,0.938566553,0,0.488054608,0.511945392,151,Yes,None,Rural,No,No,No,Yes,Yes,public,4823 NORTH COLEMAN SCHOOLS DR,COLEMAN,MI,48618,,,Rural: Distant,
Coloma High School,2.61E+11,Coloma Community Schools,2610380,402,22.2,18.11,229,34,263,129,104,75,94,0,0.004975124,0.087064677,0.15920398,0,0.689054726,0.059701493,0.509950249,0.490049751,308,Yes,None,Town,No,No,No,No,†,public,300 WEST SAINT JOSEPH ST,COLOMA,MI,49038,,,Town: Fringe,
Colon High School,2.61E+11,Colon Community School District,2610410,257,13.94,18.44,105,6,111,37,32,33,,0.007782101,0,0.007782101,0.031128405,0,0.941634241,0.011673152,0.517509728,0.482490272,102,Yes,None,Rural,No,No,No,Yes,Yes,public,400 DALLAS ST,COLON,MI,49040,,,Rural: Distant,
