teamName,teamId,season_year,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_W,playoff_opponents,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_opponents,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_opponents,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_opponents,away_win_pct,away_run_diff_total,away_run_diff_mean
Ada Forest Hills Eastern,2515110,2021,3,5.333333333333333,6.0,16.0,3,3.3333333333333335,3.0,10.0,1.0,2.0,"[2515146.0, 2515406.0, 2515154.0]",0.6666666666666666,6.0,1.9999999999999996,5,4.6,3.0,23.0,5,3.4,1.0,17.0,1.0,32.0,4.0,"[2515370.0, 2515370.0, 2516789.0, 2515346.0, 2515346.0, 2515548.0, 2515548.0, 2515548.0, 2515548.0, 2515350.0, 2515350.0, 2515030.0, 2515030.0, 2515198.0, 2515198.0, 2515030.0, 2515483.0, 2515471.0, 2515345.0, 2515345.0, 2515345.0, 2515345.0, 2515431.0, 2515431.0, 2515431.0, 2515431.0, 2515312.0, 2515312.0, 2515312.0, 2515576.0, 2515576.0, 2515576.0, 2515484.0, 2515484.0, 2515484.0, 2515438.0, 2515438.0]",0.8,6.0,1.1999999999999997,5.0,4.6,3.0,23.0,5.0,3.4,1.0,17.0,1.0,18.0,4.0,"[2515370.0, 2515370.0, 2516789.0, 2515346.0, 2515346.0, 2515548.0, 2515548.0, 2515198.0, 2515198.0, 2515030.0, 2515483.0, 2515471.0, 2515345.0, 2515345.0, 2515431.0, 2515431.0, 2515312.0, 2515312.0, 2515312.0, 2515576.0, 2515484.0, 2515438.0, 2515438.0]",0.8,6.0,1.1999999999999997,0.0,,,0.0,0.0,,,0.0,0.0,14.0,0.0,"[2515548.0, 2515548.0, 2515350.0, 2515350.0, 2515030.0, 2515030.0, 2515345.0, 2515345.0, 2515431.0, 2515431.0, 2515576.0, 2515576.0, 2515484.0, 2515484.0]",,0.0,
Addison,2515298,2021,1,0.0,0.0,0.0,1,10.0,10.0,10.0,1.0,0.0,[2515590.0],0.0,-10.0,-10.0,27,5.814814814814815,3.0,157.0,27,6.444444444444445,6.0,174.0,16.0,0.0,11.0,"[2515528.0, 2515506.0, 2515506.0, 2515550.0, 2515590.0, 2515270.0, 2515384.0, 2515384.0, 2515567.0, 2515567.0, 2515270.0, 2515378.0, 2515404.0, 2515191.0, 2515378.0, 2515265.0, 2515265.0, 2515541.0, 2515541.0, 2515517.0, 2515517.0, 2515201.0, 2515201.0, 2515337.0, 2515337.0, 2515455.0, 2515455.0]",0.4074074074074074,-17.0,-0.6296296296296298,7.0,9.571428571428571,10.0,67.0,7.0,4.142857142857143,2.0,29.0,1.0,0.0,6.0,"[2515550.0, 2515590.0, 2515567.0, 2515265.0, 2515265.0, 2515517.0, 2515517.0]",0.8571428571428571,38.0,5.428571428571428,20.0,4.5,2.5,90.0,20.0,7.25,6.0,145.0,15.0,0.0,5.0,"[2515528.0, 2515506.0, 2515506.0, 2515270.0, 2515384.0, 2515384.0, 2515567.0, 2515270.0, 2515378.0, 2515404.0, 2515191.0, 2515378.0, 2515541.0, 2515541.0, 2515201.0, 2515201.0, 2515337.0, 2515337.0, 2515455.0, 2515455.0]",0.25,-55.0,-2.75
Adrian,2515247,2021,1,0.0,0.0,0.0,1,3.0,3.0,3.0,1.0,0.0,[2515384.0],0.0,-3.0,-3.0,8,2.375,1.0,19.0,8,14.375,16.0,115.0,7.0,23.0,1.0,"[2515404.0, 2515404.0, 2515494.0, 2515494.0, 2515494.0, 2515202.0, 2515202.0, 2515202.0, 2515202.0, 2515333.0, 2515333.0, 2515372.0, 2515372.0, 2515372.0, 2515311.0, 2515311.0, 2515311.0, 2515541.0, 2515155.0, 2515155.0, 2515155.0, 2515220.0, 2515220.0, nan, nan, 2515230.0, 2515230.0, 2515230.0, 2515534.0, 2515206.0, 2515206.0]",0.125,-96.0,-12.0,5.0,2.0,1.0,10.0,5.0,13.8,17.0,69.0,4.0,14.0,1.0,"[2515404.0, 2515404.0, 2515494.0, 2515494.0, 2515202.0, 2515202.0, 2515333.0, 2515333.0, 2515372.0, 2515311.0, 2515155.0, 2515155.0, 2515220.0, 2515220.0, nan, nan, 2515230.0, 2515206.0, 2515206.0]",0.2,-59.0,-11.8,3.0,3.0,4.0,9.0,3.0,15.333333333333334,15.0,46.0,3.0,9.0,0.0,"[2515494.0, 2515202.0, 2515202.0, 2515372.0, 2515372.0, 2515311.0, 2515311.0, 2515541.0, 2515155.0, 2515230.0, 2515230.0, 2515534.0]",0.0,-37.0,-12.333333333333334
Adrian Lenawee Christian,2515590,2021,5,11.8,13.0,59.0,5,2.6,0.0,13.0,1.0,4.0,"[2515473.0, 2515298.0, 2515265.0, 2515217.0, 2515347.0]",0.8,46.0,9.200000000000001,6,4.833333333333333,2.5,29.0,6,9.0,9.5,54.0,5.0,9.0,1.0,"[2515220.0, 2515298.0, 2516887.0, 2515477.0, 2515335.0, 2515201.0, 2515587.0, 2515587.0, 2515191.0, 2515528.0, 2515414.0, 2516865.0, nan, 2516887.0, 2516887.0]",0.16666666666666666,-25.0,-4.166666666666667,1.0,16.0,16.0,16.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,"[2515220.0, 2515201.0, 2515191.0, 2515528.0, 2516865.0, nan, 2516887.0, 2516887.0]",1.0,15.0,15.0,5.0,2.6,1.0,13.0,5.0,10.6,10.0,53.0,5.0,2.0,0.0,"[2515298.0, 2516887.0, 2515477.0, 2515335.0, 2515587.0, 2515587.0, 2515414.0]",0.0,-40.0,-8.0
Adrian Madison,2515206,2021,1,9.0,9.0,9.0,1,12.0,12.0,12.0,1.0,0.0,[2515534.0],0.0,-3.0,-3.0,8,6.75,5.0,54.0,8,4.875,4.0,39.0,3.0,28.0,5.0,"[2515365.0, 2515201.0, 2515201.0, 2515259.0, 2515528.0, 2515528.0, 2515191.0, 2515235.0, 2515235.0, 2515541.0, 2515335.0, 2515335.0, 2515488.0, 2515488.0, 2515283.0, 2515220.0, 2515220.0, 2515283.0, 2515553.0, 2515235.0, 2515235.0, 2516865.0, 2516865.0, 2515384.0, 2515384.0, 2515558.0, 2515558.0, 2515317.0, 2515317.0, 2515247.0, 2515247.0, nan, 2515201.0, 2515201.0, 2515201.0, 2515201.0]",0.625,15.0,1.875,4.0,8.75,9.0,35.0,4.0,3.0,2.5,12.0,1.0,17.0,3.0,"[2515201.0, 2515201.0, 2515235.0, 2515235.0, 2515335.0, 2515335.0, 2515488.0, 2515488.0, 2515220.0, 2515220.0, 2515235.0, 2515235.0, 2515384.0, 2515384.0, 2515317.0, 2515317.0, nan, 2515201.0, 2515201.0, 2515201.0, 2515201.0]",0.75,23.0,5.75,4.0,4.75,5.0,19.0,4.0,6.75,6.0,27.0,2.0,11.0,2.0,"[2515365.0, 2515259.0, 2515528.0, 2515528.0, 2515191.0, 2515541.0, 2515283.0, 2515283.0, 2515553.0, 2516865.0, 2516865.0, 2515558.0, 2515558.0, 2515247.0, 2515247.0]",0.5,-8.0,-2.0
Alcona,2300743,2021,1,7.0,7.0,7.0,1,8.0,8.0,8.0,1.0,0.0,[2300758.0],0.0,-1.0,-1.0,6,8.0,7.5,48.0,6,7.333333333333333,8.5,44.0,3.0,13.0,3.0,"[2300781.0, 2515440.0, 2515527.0, 2300742.0, 2300742.0, 2300750.0, 2300758.0, 2300754.0, nan, 2300773.0, 2300773.0, 2300777.0, 2300781.0, 2300781.0, 2300781.0, nan, 2300769.0, 2300769.0, 2515310.0]",0.5,4.0,0.666666666666667,5.0,9.4,10.0,47.0,5.0,7.2,9.0,36.0,2.0,4.0,3.0,"[2300742.0, 2300742.0, 2300754.0, nan, 2300773.0, 2300773.0, nan, 2300769.0, 2300769.0]",0.6,11.0,2.2,1.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,1.0,9.0,0.0,"[2300781.0, 2515440.0, 2515527.0, 2300750.0, 2300758.0, 2300777.0, 2300781.0, 2300781.0, 2300781.0, 2515310.0]",0.0,-7.0,-7.0
Algonac,2515203,2021,2,4.5,4.5,9.0,2,4.0,4.0,8.0,1.0,1.0,"[2515381.0, 2515171.0]",0.5,1.0,0.5,9,4.333333333333333,4.0,39.0,9,5.222222222222222,5.0,47.0,5.0,22.0,4.0,"[2515383.0, 2515383.0, 2515197.0, 2515381.0, 2515514.0, 2515514.0, 2515529.0, 2515529.0, 2515307.0, 2515226.0, 2515216.0, 2515216.0, 2515216.0, 2515396.0, 2515396.0, 2515415.0, 2515367.0, 2515367.0, 2515122.0, 2515122.0, 2515383.0, 2515449.0, 2515449.0, 2515290.0, 2515290.0, 2515171.0, 2515171.0, 2515171.0, 2515173.0, 2515477.0, 2515534.0]",0.4444444444444444,-8.0,-0.8888888888888893,3.0,2.0,2.0,6.0,3.0,3.6666666666666665,5.0,11.0,2.0,13.0,1.0,"[2515383.0, 2515383.0, 2515197.0, 2515381.0, 2515529.0, 2515216.0, 2515216.0, 2515396.0, 2515122.0, 2515449.0, 2515290.0, 2515290.0, 2515171.0, 2515171.0, 2515173.0, 2515477.0]",0.3333333333333333,-5.0,-1.6666666666666665,6.0,5.5,5.5,33.0,6.0,6.0,6.0,36.0,3.0,9.0,3.0,"[2515514.0, 2515514.0, 2515529.0, 2515307.0, 2515226.0, 2515216.0, 2515396.0, 2515415.0, 2515367.0, 2515367.0, 2515122.0, 2515383.0, 2515449.0, 2515171.0, 2515534.0]",0.5,-3.0,-0.5
Allegan,2515245,2021,2,1.0,1.0,2.0,2,7.0,7.0,14.0,1.0,1.0,"[2515401.0, 2515346.0]",0.5,-12.0,-6.0,2,1.5,1.5,3.0,2,11.5,11.5,23.0,2.0,24.0,0.0,"[2515441.0, nan, 2515380.0, 2515476.0, 2515380.0, 2515441.0, 2515097.0, 2515233.0, 2515199.0, 2515189.0, 2515189.0, 2515441.0, 2515096.0, 2515532.0, 2515233.0, 2515373.0, 2515096.0, 2515179.0, 2515357.0, 2515357.0, 2515285.0, 2515408.0, 2515576.0, 2515109.0, 2515508.0, 2515508.0]",0.0,-20.0,-10.0,0.0,,,0.0,0.0,,,0.0,0.0,12.0,0.0,"[2515441.0, nan, 2515441.0, 2515097.0, 2515189.0, 2515441.0, 2515373.0, 2515408.0, 2515576.0, 2515109.0, 2515508.0, 2515508.0]",,0.0,,2.0,1.5,1.5,3.0,2.0,11.5,11.5,23.0,2.0,12.0,0.0,"[2515380.0, 2515476.0, 2515380.0, 2515233.0, 2515199.0, 2515189.0, 2515096.0, 2515532.0, 2515233.0, 2515096.0, 2515179.0, 2515357.0, 2515357.0, 2515285.0]",0.0,-20.0,-10.0
Allen Park,2515423,2021,1,10.0,10.0,10.0,1,11.0,11.0,11.0,1.0,0.0,[2515295.0],0.0,-1.0,-1.0,13,5.769230769230769,7.0,75.0,13,4.0,2.0,52.0,4.0,34.0,9.0,"[2515572.0, 2515333.0, 2515572.0, 2515333.0, 2515282.0, 2515282.0, 2515375.0, 2515462.0, 2515462.0, 2515388.0, 2515555.0, 2516867.0, 2516867.0, 2515295.0, 2516904.0, 2515200.0, 2515050.0, 2515050.0, 2515573.0, 2515374.0, 2515462.0, 2515462.0, 2515388.0, 2515555.0, 2515555.0, 2515047.0, 2515047.0, 2515295.0, 2516904.0, 2515200.0, 2515048.0, 2515048.0, 2515573.0, 2515374.0, 2515374.0, 2516904.0, 2516904.0, 2515540.0, 2515540.0, 2515046.0, 2515046.0, 2515046.0, 2515547.0, 2515547.0, 2515046.0, 2515046.0, 2515369.0]",0.6923076923076923,23.0,1.7692307692307692,9.0,5.111111111111111,5.0,46.0,9.0,5.111111111111111,3.0,46.0,4.0,19.0,5.0,"[2515572.0, 2515572.0, 2515282.0, 2515282.0, 2515388.0, 2516867.0, 2516867.0, 2515295.0, 2516904.0, 2515050.0, 2515050.0, 2515374.0, 2515462.0, 2515462.0, 2515555.0, 2515555.0, 2515200.0, 2515048.0, 2515048.0, 2515573.0, 2515046.0, 2515046.0, 2515046.0, 2515547.0, 2515547.0, 2515046.0, 2515046.0, 2515369.0]",0.5555555555555556,0.0,0.0,4.0,7.25,7.5,29.0,4.0,1.5,1.0,6.0,0.0,15.0,4.0,"[2515333.0, 2515333.0, 2515375.0, 2515462.0, 2515462.0, 2515555.0, 2515200.0, 2515573.0, 2515388.0, 2515047.0, 2515047.0, 2515295.0, 2516904.0, 2515374.0, 2515374.0, 2516904.0, 2516904.0, 2515540.0, 2515540.0]",1.0,23.0,5.75
Allen Park Cabrini,2515241,2021,1,1.0,1.0,1.0,1,9.0,9.0,9.0,1.0,0.0,[2515335.0],0.0,-8.0,-8.0,21,4.714285714285714,3.0,99.0,21,5.190476190476191,4.0,109.0,11.0,1.0,9.0,"[2515031.0, 2515031.0, 2515386.0, 2515386.0, 2515498.0, 2515498.0, 2515174.0, 2515347.0, 2515347.0, 2515531.0, 2515531.0, 2515393.0, 2515393.0, 2516871.0, 2516871.0, 2515093.0, 2515093.0, 2515041.0, 2664384.0, 2515174.0, 2515587.0]",0.42857142857142855,-10.0,-0.4761904761904763,10.0,5.0,3.0,50.0,10.0,3.8,1.5,38.0,4.0,1.0,5.0,"[2515031.0, 2515031.0, 2515531.0, 2515531.0, 2516871.0, 2516871.0, 2515093.0, 2515093.0, 2664384.0, 2515174.0]",0.5,12.0,1.2000000000000002,11.0,4.454545454545454,4.0,49.0,11.0,6.454545454545454,7.0,71.0,7.0,0.0,4.0,"[2515386.0, 2515386.0, 2515498.0, 2515498.0, 2515174.0, 2515347.0, 2515347.0, 2515393.0, 2515393.0, 2515041.0, 2515587.0]",0.36363636363636365,-22.0,-2.0
