teamName,teamId,season_year,playoff_games_played,playoff_runs_scored_mean,playoff_runs_scored_median,playoff_runs_scored_total,playoff_runs_allowed_count,playoff_runs_allowed_mean,playoff_runs_allowed_median,playoff_runs_allowed_total,playoff_L,playoff_W,playoff_opponents,playoff_win_pct,playoff_run_diff_total,playoff_run_diff_mean,regular_season_games_played,regular_season_runs_scored_mean,regular_season_runs_scored_median,regular_season_runs_scored_total,regular_season_runs_allowed_count,regular_season_runs_allowed_mean,regular_season_runs_allowed_median,regular_season_runs_allowed_total,regular_season_L,regular_season_T,regular_season_W,regular_season_opponents,regular_season_win_pct,regular_season_run_diff_total,regular_season_run_diff_mean,home_games_played,home_runs_scored_mean,home_runs_scored_median,home_runs_scored_total,home_runs_allowed_count,home_runs_allowed_mean,home_runs_allowed_median,home_runs_allowed_total,home_L,home_T,home_W,home_opponents,home_win_pct,home_run_diff_total,home_run_diff_mean,away_games_played,away_runs_scored_mean,away_runs_scored_median,away_runs_scored_total,away_runs_allowed_count,away_runs_allowed_mean,away_runs_allowed_median,away_runs_allowed_total,away_L,away_T,away_W,away_opponents,away_win_pct,away_run_diff_total,away_run_diff_mean
Grand Rapids South Christian,95937,2011,1,1.0,1.0,1.0,1,6.0,6.0,6.0,1.0,0.0,[95827.0],0.0,-5.0,-5.0,3.0,6.333333333333333,3.0,19.0,3.0,5.0,5.0,15.0,2.0,0.0,1.0,"[95829.0, 96197.0, 95829.0]",0.3333333333333333,4.0,1.333333333333333,1.0,2.0,2.0,2.0,1.0,6.0,6.0,6.0,1.0,0.0,0.0,[95829.0],0.0,-4.0,-4.0,2.0,8.5,8.5,17.0,2.0,4.5,4.5,9.0,1.0,0.0,1.0,"[95829.0, 96197.0]",0.5,8.0,4.0
Grand Rapids Union,96234,2011,1,3.0,3.0,3.0,1,10.0,10.0,10.0,1.0,0.0,[95957.0],0.0,-7.0,-7.0,4.0,6.5,6.0,26.0,4.0,6.75,8.0,27.0,2.0,1.0,2.0,"[96072.0, 96072.0, 96072.0, 95781.0, 96072.0]",0.5,-1.0,-0.25,1.0,9.0,9.0,9.0,1.0,8.0,8.0,8.0,0.0,0.0,1.0,[96072.0],1.0,1.0,1.0,3.0,5.666666666666667,6.0,17.0,3.0,6.333333333333333,8.0,19.0,2.0,1.0,1.0,"[96072.0, 96072.0, 96072.0, 95781.0]",0.3333333333333333,-2.0,-0.6666666666666661
Grand Rapids West Catholic,96093,2011,2,6.0,6.0,12.0,2,2.0,2.0,4.0,1.0,1.0,"[96263.0, 96265.0]",0.5,8.0,4.0,3.0,10.0,9.0,30.0,3.0,1.6666666666666667,2.0,5.0,0.0,0.0,3.0,"[96107.0, 96107.0, 96107.0]",1.0,25.0,8.333333333333334,1.0,12.0,12.0,12.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,[96107.0],1.0,10.0,10.0,2.0,9.0,9.0,18.0,2.0,1.5,1.5,3.0,0.0,0.0,2.0,"[96107.0, 96107.0]",1.0,15.0,7.5
Grandville,96159,2011,2,3.0,3.0,6.0,2,5.0,5.0,10.0,1.0,1.0,"[95910.0, 96277.0]",0.5,-4.0,-2.0,3.0,4.0,4.0,12.0,3.0,3.3333333333333335,4.0,10.0,1.0,2.0,2.0,"[96140.0, 95961.0, 95961.0, 95723.0, 95723.0]",0.6666666666666666,2.0,0.6666666666666665,2.0,3.5,3.5,7.0,2.0,3.0,3.0,6.0,1.0,2.0,1.0,"[96140.0, 95961.0, 95723.0, 95723.0]",0.5,1.0,0.5,1.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,0.0,0.0,1.0,[95961.0],1.0,1.0,1.0
Grandville Calvin Christian,95829,2011,5,13.4,13.0,67.0,5,5.0,4.0,25.0,1.0,4.0,"[96281.0, 96072.0, 96147.0, 95815.0, 95883.0]",0.8,42.0,8.4,21.0,9.380952380952381,9.0,197.0,21.0,3.0476190476190474,2.0,64.0,2.0,1.0,19.0,"[95929.0, 95888.0, 96052.0, 96072.0, 95937.0, 95831.0, 95850.0, 96281.0, 95937.0, 95938.0, 96277.0, 95888.0, 96274.0, 96072.0, 96052.0, 95850.0, 96018.0, 96018.0, 96281.0, 95836.0, 33576.0, 95910.0]",0.9047619047619048,133.0,6.333333333333334,11.0,7.818181818181818,8.0,86.0,11.0,3.272727272727273,3.0,36.0,1.0,0.0,10.0,"[95929.0, 95888.0, 95937.0, 95831.0, 95850.0, 96072.0, 96052.0, 96018.0, 96018.0, 96281.0, 95910.0]",0.9090909090909091,50.0,4.545454545454545,10.0,11.1,11.5,111.0,10.0,2.8,2.0,28.0,1.0,1.0,9.0,"[96052.0, 96072.0, 96281.0, 95937.0, 95938.0, 96277.0, 95888.0, 96274.0, 95850.0, 95836.0, 33576.0]",0.9,83.0,8.3
Grant,96251,2011,1,0.0,0.0,0.0,1,6.0,6.0,6.0,1.0,0.0,[96005.0],0.0,-6.0,-6.0,3.0,2.0,2.0,6.0,3.0,13.0,14.0,39.0,3.0,0.0,0.0,"[96140.0, 96140.0, 96140.0]",0.0,-33.0,-11.0,2.0,1.5,1.5,3.0,2.0,12.5,12.5,25.0,2.0,0.0,0.0,"[96140.0, 96140.0]",0.0,-22.0,-11.0,1.0,3.0,3.0,3.0,1.0,14.0,14.0,14.0,1.0,0.0,0.0,[96140.0],0.0,-11.0,-11.0
Grass Lake,95986,2011,3,8.666666666666666,10.0,26.0,3,6.0,4.0,18.0,1.0,2.0,"[96156.0, 96171.0, 96285.0]",0.6666666666666666,8.0,2.666666666666666,1.0,26.0,26.0,26.0,1.0,9.0,9.0,9.0,0.0,0.0,1.0,[96021.0],1.0,17.0,17.0,,,,,,,,,,,,,,,,1.0,26.0,26.0,26.0,1.0,9.0,9.0,9.0,0.0,0.0,1.0,[96021.0],1.0,17.0,17.0
Grayling,96059,2011,1,2.0,2.0,2.0,1,3.0,3.0,3.0,1.0,0.0,[95915.0],0.0,-1.0,-1.0,18.0,7.555555555555555,6.5,136.0,18.0,3.0,2.5,54.0,4.0,5.0,14.0,"[96204.0, 96204.0, 96075.0, 96075.0, nan, 96252.0, 96252.0, 95754.0, 95754.0, 95693.0, 95693.0, 95693.0, 95693.0, 96183.0, 96183.0, 95958.0, 95958.0, 95692.0, 95692.0, 95794.0, 95794.0, 95873.0, 95873.0]",0.7777777777777778,82.0,4.555555555555555,11.0,9.181818181818182,9.0,101.0,11.0,3.090909090909091,2.0,34.0,2.0,2.0,9.0,"[nan, 96252.0, 96252.0, 95754.0, 95693.0, 95693.0, 95693.0, 96183.0, 96183.0, 95692.0, 95692.0, 95794.0, 95794.0]",0.8181818181818182,67.0,6.090909090909091,7.0,5.0,5.0,35.0,7.0,2.857142857142857,3.0,20.0,2.0,3.0,5.0,"[96204.0, 96204.0, 96075.0, 96075.0, 95754.0, 95693.0, 95958.0, 95958.0, 95873.0, 95873.0]",0.7142857142857143,15.0,2.142857142857143
Greenville,95891,2011,1,1.0,1.0,1.0,1,8.0,8.0,8.0,1.0,0.0,[95957.0],0.0,-7.0,-7.0,4.0,2.5,1.5,10.0,4.0,16.0,15.0,64.0,4.0,0.0,0.0,"[96197.0, 96197.0, 96197.0, 96140.0]",0.0,-54.0,-13.5,3.0,3.0,2.0,9.0,3.0,17.333333333333332,16.0,52.0,3.0,0.0,0.0,"[96197.0, 96197.0, 96140.0]",0.0,-43.0,-14.333333333333332,1.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,1.0,0.0,0.0,[96197.0],0.0,-11.0,-11.0
Grosse Ile,95731,2011,2,3.5,3.5,7.0,2,5.5,5.5,11.0,1.0,1.0,"[96256.0, 96242.0]",0.5,-4.0,-2.0,3.0,6.666666666666667,5.0,20.0,3.0,9.0,10.0,27.0,1.0,0.0,2.0,"[96242.0, 95897.0, 95897.0]",0.6666666666666666,-7.0,-2.333333333333333,1.0,4.0,4.0,4.0,1.0,14.0,14.0,14.0,1.0,0.0,0.0,[95897.0],0.0,-10.0,-10.0,2.0,8.0,8.0,16.0,2.0,6.5,6.5,13.0,0.0,0.0,2.0,"[96242.0, 95897.0]",1.0,3.0,1.5
