teamName,teamId,team_record_count,playoff_games_played,playoff_W,playoff_L,playoff_runs_scored_total,playoff_runs_allowed_total,regular_season_games_played,regular_season_W,regular_season_L,regular_season_runs_scored_total,regular_season_runs_allowed_total,home_games_played,home_W,home_L,home_runs_scored_total,home_runs_allowed_total,away_games_played,away_W,away_L,away_runs_scored_total,away_runs_allowed_total,playoff_win_pct,regular_season_win_pct,home_win_pct,away_win_pct,playoff_run_diff_total,regular_season_run_diff_total,home_run_diff_total,away_run_diff_total,playoff_run_diff_mean,regular_season_run_diff_mean,home_run_diff_mean,away_run_diff_mean,playoff_run_diff_per_game,regular_season_run_diff_per_game,home_run_diff_per_game,away_run_diff_per_game,playoff_W_per_year,playoff_L_per_year
Ada Forest Hills Eastern,1976708,6,20,15.0,5.0,117.0,40.0,82.0,64.0,18.0,611.0,227.0,47.0,35.0,12.0,307.0,119.0,35.0,29.0,6.0,304.0,108.0,0.75,0.7804878048780488,0.7446808510638298,0.8285714285714286,77.0,384.0,188.0,196.0,3.85,4.682926829268292,4.0,5.6,3.85,4.682926829268292,4.0,5.6,2.5,0.8333333333333334
Addison,95871,10,14,4.0,10.0,50.0,84.0,164.0,61.0,101.0,868.0,1151.0,55.0,25.0,30.0,329.0,338.0,109.0,36.0,71.0,539.0,813.0,0.2857142857142857,0.3719512195121951,0.45454545454545453,0.3302752293577982,-34.0,-283.0,-9.0,-274.0,-2.4285714285714284,-1.725609756097561,-0.16363636363636364,-2.5137614678899083,-2.4285714285714284,-1.725609756097561,-0.16363636363636364,-2.5137614678899083,0.4,1.0
Adrian,95800,10,21,11.0,10.0,91.0,99.0,145.0,78.0,67.0,954.0,857.0,81.0,43.0,38.0,533.0,534.0,64.0,35.0,29.0,421.0,323.0,0.5238095238095238,0.5379310344827586,0.5308641975308642,0.546875,-8.0,97.0,-1.0,98.0,-0.38095238095238093,0.6689655172413793,-0.012345679012345678,1.53125,-0.38095238095238093,0.6689655172413793,-0.012345679012345678,1.53125,1.1,1.0
Adrian Lenawee Christian,96297,10,21,11.0,10.0,151.0,99.0,60.0,16.0,44.0,250.0,549.0,24.0,10.0,14.0,106.0,205.0,36.0,6.0,30.0,144.0,344.0,0.5238095238095238,0.26666666666666666,0.4166666666666667,0.16666666666666666,52.0,-299.0,-99.0,-200.0,2.4761904761904763,-4.983333333333333,-4.125,-5.555555555555555,2.4761904761904763,-4.983333333333333,-4.125,-5.555555555555555,1.1,1.0
Adrian Madison,95746,10,13,3.0,10.0,45.0,88.0,100.0,46.0,54.0,626.0,547.0,44.0,19.0,25.0,249.0,269.0,56.0,27.0,29.0,377.0,278.0,0.23076923076923078,0.46,0.4318181818181818,0.48214285714285715,-43.0,79.0,-20.0,99.0,-3.3076923076923075,0.79,-0.45454545454545453,1.7678571428571428,-3.3076923076923075,0.79,-0.45454545454545453,1.7678571428571428,0.3,1.0
Akron-Fairgrove,96133,7,7,0.0,7.0,14.0,106.0,41.0,11.0,30.0,159.0,435.0,23.0,9.0,14.0,113.0,212.0,18.0,2.0,16.0,46.0,223.0,0.0,0.2682926829268293,0.391304347826087,0.1111111111111111,-92.0,-276.0,-99.0,-177.0,-13.142857142857142,-6.7317073170731705,-4.304347826086956,-9.833333333333334,-13.142857142857142,-6.7317073170731705,-4.304347826086956,-9.833333333333334,0.0,1.0
Alanson ,96060,9,14,5.0,9.0,56.0,95.0,37.0,4.0,33.0,156.0,442.0,27.0,4.0,23.0,147.0,332.0,10.0,0.0,10.0,9.0,110.0,0.35714285714285715,0.10810810810810811,0.14814814814814814,0.0,-39.0,-286.0,-185.0,-101.0,-2.7857142857142856,-7.72972972972973,-6.851851851851852,-10.1,-2.7857142857142856,-7.72972972972973,-6.851851851851852,-10.1,0.5555555555555556,1.0
Alcona,2059664,4,11,7.0,4.0,77.0,57.0,39.0,17.0,22.0,275.0,272.0,22.0,10.0,12.0,155.0,169.0,17.0,7.0,10.0,120.0,103.0,0.6363636363636364,0.4358974358974359,0.45454545454545453,0.4117647058823529,20.0,3.0,-14.0,17.0,1.8181818181818181,0.07692307692307693,-0.6363636363636364,1.0,1.8181818181818181,0.07692307692307693,-0.6363636363636364,1.0,1.75,1.0
Algonac,95743,10,27,17.0,10.0,134.0,100.0,208.0,117.0,88.0,1200.0,954.0,111.0,70.0,41.0,654.0,432.0,97.0,47.0,47.0,546.0,522.0,0.6296296296296297,0.5625,0.6306306306306306,0.4845360824742268,34.0,246.0,222.0,24.0,1.2592592592592593,1.1826923076923077,2.0,0.24742268041237114,1.2592592592592593,1.1826923076923077,2.0,0.24742268041237114,1.7,1.0
Allegan,95797,10,14,4.0,10.0,41.0,75.0,165.0,37.0,127.0,551.0,1286.0,84.0,21.0,63.0,275.0,648.0,81.0,16.0,64.0,276.0,638.0,0.2857142857142857,0.22424242424242424,0.25,0.19753086419753085,-34.0,-735.0,-373.0,-362.0,-2.4285714285714284,-4.454545454545454,-4.440476190476191,-4.469135802469136,-2.4285714285714284,-4.454545454545454,-4.440476190476191,-4.469135802469136,0.4,1.0
Allen Park,96045,10,25,15.0,10.0,179.0,86.0,150.0,104.0,45.0,950.0,543.0,74.0,54.0,19.0,431.0,243.0,76.0,50.0,26.0,519.0,300.0,0.6,0.6933333333333334,0.7297297297297297,0.6578947368421053,93.0,407.0,188.0,219.0,3.72,2.7133333333333334,2.5405405405405403,2.8815789473684212,3.72,2.7133333333333334,2.5405405405405403,2.8815789473684212,1.5,1.0
Allen Park Cabrini,95793,10,22,12.0,10.0,173.0,77.0,220.0,97.0,119.0,1092.0,1218.0,116.0,55.0,58.0,602.0,607.0,104.0,42.0,61.0,490.0,611.0,0.5454545454545454,0.4409090909090909,0.47413793103448276,0.40384615384615385,96.0,-126.0,-5.0,-121.0,4.363636363636363,-0.5727272727272728,-0.04310344827586207,-1.1634615384615385,4.363636363636363,-0.5727272727272728,-0.04310344827586207,-1.1634615384615385,1.2,1.0
Allen Park Inter-City Baptist,96288,10,27,17.0,10.0,247.0,137.0,75.0,38.0,37.0,522.0,452.0,47.0,25.0,22.0,344.0,305.0,28.0,13.0,15.0,178.0,147.0,0.6296296296296297,0.5066666666666667,0.5319148936170213,0.4642857142857143,110.0,70.0,39.0,31.0,4.074074074074074,0.9333333333333333,0.8297872340425532,1.1071428571428572,4.074074074074074,0.9333333333333333,0.8297872340425532,1.1071428571428572,1.7,1.0
Allendale,96052,10,23,13.0,10.0,101.0,87.0,106.0,62.0,44.0,557.0,487.0,54.0,34.0,20.0,309.0,222.0,52.0,28.0,24.0,248.0,265.0,0.5652173913043478,0.5849056603773585,0.6296296296296297,0.5384615384615384,14.0,70.0,87.0,-17.0,0.6086956521739131,0.660377358490566,1.6111111111111112,-0.3269230769230769,0.6086956521739131,0.660377358490566,1.6111111111111112,-0.3269230769230769,1.3,1.0
Alma,95801,10,27,17.0,10.0,159.0,89.0,117.0,61.0,55.0,580.0,576.0,61.0,33.0,28.0,257.0,295.0,56.0,28.0,27.0,323.0,281.0,0.6296296296296297,0.5213675213675214,0.5409836065573771,0.5,70.0,4.0,-38.0,42.0,2.5925925925925926,0.03418803418803419,-0.6229508196721312,0.75,2.5925925925925926,0.03418803418803419,-0.6229508196721312,0.75,1.7,1.0
Almont,96012,10,25,15.0,10.0,145.0,91.0,111.0,59.0,51.0,632.0,522.0,53.0,26.0,27.0,316.0,251.0,58.0,33.0,24.0,316.0,271.0,0.6,0.5315315315315315,0.49056603773584906,0.5689655172413793,54.0,110.0,65.0,45.0,2.16,0.990990990990991,1.2264150943396226,0.7758620689655172,2.16,0.990990990990991,1.2264150943396226,0.7758620689655172,1.5,1.0
Alpena,96282,10,14,4.0,10.0,49.0,86.0,89.0,44.0,44.0,500.0,430.0,36.0,25.0,10.0,286.0,147.0,53.0,19.0,34.0,214.0,283.0,0.2857142857142857,0.4943820224719101,0.6944444444444444,0.3584905660377358,-37.0,70.0,139.0,-69.0,-2.642857142857143,0.7865168539325843,3.861111111111111,-1.3018867924528301,-2.642857142857143,0.7865168539325843,3.861111111111111,-1.3018867924528301,0.4,1.0
Ann Arbor Father Gabriel Richard,96285,10,24,14.0,10.0,166.0,86.0,204.0,101.0,102.0,993.0,1002.0,103.0,51.0,52.0,501.0,529.0,101.0,50.0,50.0,492.0,473.0,0.5833333333333334,0.4950980392156863,0.49514563106796117,0.49504950495049505,80.0,-9.0,-28.0,19.0,3.3333333333333335,-0.04411764705882353,-0.27184466019417475,0.18811881188118812,3.3333333333333335,-0.04411764705882353,-0.27184466019417475,0.18811881188118812,1.4,1.0
Ann Arbor Greenhills,96156,10,21,11.0,10.0,81.0,99.0,156.0,81.0,75.0,806.0,856.0,71.0,42.0,29.0,369.0,332.0,85.0,39.0,46.0,437.0,524.0,0.5238095238095238,0.5192307692307693,0.5915492957746479,0.4588235294117647,-18.0,-50.0,37.0,-87.0,-0.8571428571428571,-0.32051282051282054,0.5211267605633803,-1.0235294117647058,-0.8571428571428571,-0.32051282051282054,0.5211267605633803,-1.0235294117647058,1.1,1.0
Ann Arbor Huron,95758,10,20,10.0,10.0,114.0,109.0,142.0,41.0,101.0,609.0,1000.0,71.0,20.0,51.0,292.0,548.0,71.0,21.0,50.0,317.0,452.0,0.5,0.2887323943661972,0.28169014084507044,0.29577464788732394,5.0,-391.0,-256.0,-135.0,0.25,-2.7535211267605635,-3.6056338028169015,-1.9014084507042253,0.25,-2.7535211267605635,-3.6056338028169015,-1.9014084507042253,1.0,1.0
Ann Arbor Pioneer,95916,10,19,9.0,10.0,87.0,88.0,176.0,59.0,116.0,748.0,1099.0,82.0,32.0,50.0,355.0,513.0,94.0,27.0,66.0,393.0,586.0,0.47368421052631576,0.3352272727272727,0.3902439024390244,0.2872340425531915,-1.0,-351.0,-158.0,-193.0,-0.05263157894736842,-1.9943181818181819,-1.9268292682926829,-2.0531914893617023,-0.05263157894736842,-1.9943181818181819,-1.9268292682926829,-2.0531914893617023,0.9,1.0
Ann Arbor Skyline,95777,10,21,11.0,10.0,80.0,76.0,171.0,81.0,89.0,982.0,872.0,99.0,50.0,48.0,543.0,518.0,72.0,31.0,41.0,439.0,354.0,0.5238095238095238,0.47368421052631576,0.5050505050505051,0.4305555555555556,4.0,110.0,25.0,85.0,0.19047619047619047,0.6432748538011696,0.25252525252525254,1.1805555555555556,0.19047619047619047,0.6432748538011696,0.25252525252525254,1.1805555555555556,1.1,1.0
Arenac Eastern,96076,2,4,2.0,2.0,26.0,33.0,16.0,4.0,11.0,87.0,147.0,12.0,4.0,8.0,78.0,96.0,4.0,0.0,3.0,9.0,51.0,0.5,0.25,0.3333333333333333,0.0,-7.0,-60.0,-18.0,-42.0,-1.75,-3.75,-1.5,-10.5,-1.75,-3.75,-1.5,-10.5,1.0,1.0
Armada,96079,10,15,5.0,10.0,36.0,58.0,133.0,82.0,51.0,813.0,542.0,71.0,48.0,23.0,450.0,284.0,62.0,34.0,28.0,363.0,258.0,0.3333333333333333,0.6165413533834586,0.676056338028169,0.5483870967741935,-22.0,271.0,166.0,105.0,-1.4666666666666666,2.037593984962406,2.3380281690140845,1.6935483870967742,-1.4666666666666666,2.037593984962406,2.3380281690140845,1.6935483870967742,0.5,1.0
Ashley,96230,10,10,0.0,10.0,23.0,105.0,129.0,24.0,104.0,486.0,1355.0,63.0,15.0,47.0,265.0,661.0,66.0,9.0,57.0,221.0,694.0,0.0,0.18604651162790697,0.23809523809523808,0.13636363636363635,-82.0,-869.0,-396.0,-473.0,-8.2,-6.736434108527132,-6.285714285714286,-7.166666666666667,-8.2,-6.736434108527132,-6.285714285714286,-7.166666666666667,0.0,1.0
Athens,96108,10,12,2.0,10.0,31.0,107.0,43.0,4.0,39.0,121.0,502.0,20.0,0.0,20.0,27.0,269.0,23.0,4.0,19.0,94.0,233.0,0.16666666666666666,0.09302325581395349,0.0,0.17391304347826086,-76.0,-381.0,-242.0,-139.0,-6.333333333333333,-8.86046511627907,-12.1,-6.043478260869565,-6.333333333333333,-8.86046511627907,-12.1,-6.043478260869565,0.2,1.0
Atlanta,96024,9,13,4.0,9.0,35.0,114.0,58.0,29.0,29.0,384.0,362.0,15.0,10.0,5.0,125.0,79.0,43.0,19.0,24.0,259.0,283.0,0.3076923076923077,0.5,0.6666666666666666,0.4418604651162791,-79.0,22.0,46.0,-24.0,-6.076923076923077,0.3793103448275862,3.066666666666667,-0.5581395348837209,-6.076923076923077,0.3793103448275862,3.066666666666667,-0.5581395348837209,0.4444444444444444,1.0
Au Gres-Sims,2059678,4,9,5.0,4.0,81.0,72.0,51.0,20.0,30.0,318.0,439.0,28.0,16.0,12.0,176.0,220.0,23.0,4.0,18.0,142.0,219.0,0.5555555555555556,0.39215686274509803,0.5714285714285714,0.17391304347826086,9.0,-121.0,-44.0,-77.0,1.0,-2.372549019607843,-1.5714285714285714,-3.347826086956522,1.0,-2.372549019607843,-1.5714285714285714,-3.347826086956522,1.25,1.0
AuGres-Sims,95973,6,13,7.0,6.0,91.0,110.0,50.0,16.0,34.0,212.0,431.0,28.0,14.0,14.0,155.0,210.0,22.0,2.0,20.0,57.0,221.0,0.5384615384615384,0.32,0.5,0.09090909090909091,-19.0,-219.0,-55.0,-164.0,-1.4615384615384615,-4.38,-1.9642857142857142,-7.454545454545454,-1.4615384615384615,-4.38,-1.9642857142857142,-7.454545454545454,1.1666666666666667,1.0
Auburn Hills Avondale,95822,10,14,4.0,10.0,68.0,112.0,172.0,92.0,80.0,1004.0,949.0,101.0,63.0,38.0,635.0,572.0,71.0,29.0,42.0,369.0,377.0,0.2857142857142857,0.5348837209302325,0.6237623762376238,0.4084507042253521,-44.0,55.0,63.0,-8.0,-3.142857142857143,0.31976744186046513,0.6237623762376238,-0.11267605633802817,-3.142857142857143,0.31976744186046513,0.6237623762376238,-0.11267605633802817,0.4,1.0
Auburn Hills Oakland Christian,95905,10,23,13.0,10.0,141.0,106.0,96.0,42.0,53.0,524.0,582.0,41.0,16.0,25.0,255.0,295.0,55.0,26.0,28.0,269.0,287.0,0.5652173913043478,0.4375,0.3902439024390244,0.4727272727272727,35.0,-58.0,-40.0,-18.0,1.5217391304347827,-0.6041666666666666,-0.975609756097561,-0.32727272727272727,1.5217391304347827,-0.6041666666666666,-0.975609756097561,-0.32727272727272727,1.3,1.0
Bad Axe,95717,10,16,6.0,10.0,72.0,100.0,174.0,90.0,82.0,1002.0,887.0,97.0,56.0,40.0,627.0,457.0,77.0,34.0,42.0,375.0,430.0,0.375,0.5172413793103449,0.5773195876288659,0.44155844155844154,-28.0,115.0,170.0,-55.0,-1.75,0.6609195402298851,1.7525773195876289,-0.7142857142857143,-1.75,0.6609195402298851,1.7525773195876289,-0.7142857142857143,0.6,1.0
Baldwin,95939,8,9,1.0,8.0,26.0,99.0,35.0,5.0,29.0,104.0,351.0,12.0,1.0,10.0,40.0,125.0,23.0,4.0,19.0,64.0,226.0,0.1111111111111111,0.14285714285714285,0.08333333333333333,0.17391304347826086,-73.0,-247.0,-85.0,-162.0,-8.11111111111111,-7.057142857142857,-7.083333333333333,-7.043478260869565,-8.11111111111111,-7.057142857142857,-7.083333333333333,-7.043478260869565,0.125,1.0
Bangor,96039,10,14,4.0,10.0,44.0,137.0,66.0,8.0,58.0,157.0,842.0,29.0,4.0,25.0,81.0,400.0,37.0,4.0,33.0,76.0,442.0,0.2857142857142857,0.12121212121212122,0.13793103448275862,0.10810810810810811,-93.0,-685.0,-319.0,-366.0,-6.642857142857143,-10.378787878787879,-11.0,-9.891891891891891,-6.642857142857143,-10.378787878787879,-11.0,-9.891891891891891,0.4,1.0
Bark River-Harris,1576504,7,13,6.0,7.0,61.0,79.0,80.0,44.0,36.0,527.0,400.0,39.0,23.0,16.0,292.0,195.0,41.0,21.0,20.0,235.0,205.0,0.46153846153846156,0.55,0.5897435897435898,0.5121951219512195,-18.0,127.0,97.0,30.0,-1.3846153846153846,1.5875,2.4871794871794872,0.7317073170731707,-1.3846153846153846,1.5875,2.4871794871794872,0.7317073170731707,0.8571428571428571,1.0
Bath,96087,10,16,6.0,10.0,76.0,86.0,135.0,53.0,82.0,546.0,874.0,76.0,31.0,45.0,345.0,418.0,59.0,22.0,37.0,201.0,456.0,0.375,0.3925925925925926,0.40789473684210525,0.3728813559322034,-10.0,-328.0,-73.0,-255.0,-0.625,-2.4296296296296296,-0.9605263157894737,-4.322033898305085,-0.625,-2.4296296296296296,-0.9605263157894737,-4.322033898305085,0.6,1.0
Battle Creek Central,95837,10,10,0.0,10.0,6.0,130.0,64.0,3.0,61.0,104.0,885.0,34.0,1.0,33.0,52.0,524.0,30.0,2.0,28.0,52.0,361.0,0.0,0.046875,0.029411764705882353,0.06666666666666667,-124.0,-781.0,-472.0,-309.0,-12.4,-12.203125,-13.882352941176471,-10.3,-12.4,-12.203125,-13.882352941176471,-10.3,0.0,1.0
Battle Creek Harper Creek,96228,10,22,12.0,10.0,77.0,76.0,90.0,45.0,43.0,476.0,437.0,41.0,26.0,13.0,275.0,153.0,49.0,19.0,30.0,201.0,284.0,0.5454545454545454,0.5,0.6341463414634146,0.3877551020408163,1.0,39.0,122.0,-83.0,0.045454545454545456,0.43333333333333335,2.975609756097561,-1.6938775510204083,0.045454545454545456,0.43333333333333335,2.975609756097561,-1.6938775510204083,1.2,1.0
Battle Creek Lakeview,95830,10,31,21.0,10.0,216.0,130.0,129.0,96.0,33.0,1002.0,501.0,78.0,60.0,18.0,614.0,295.0,51.0,36.0,15.0,388.0,206.0,0.6774193548387096,0.7441860465116279,0.7692307692307693,0.7058823529411765,86.0,501.0,319.0,182.0,2.774193548387097,3.883720930232558,4.089743589743589,3.5686274509803924,2.774193548387097,3.883720930232558,4.089743589743589,3.5686274509803924,2.1,1.0
Battle Creek Pennfield,95839,10,16,6.0,10.0,61.0,91.0,96.0,43.0,53.0,565.0,516.0,44.0,21.0,23.0,249.0,211.0,52.0,22.0,30.0,316.0,305.0,0.375,0.4479166666666667,0.4772727272727273,0.4230769230769231,-30.0,49.0,38.0,11.0,-1.875,0.5104166666666666,0.8636363636363636,0.21153846153846154,-1.875,0.5104166666666666,0.8636363636363636,0.21153846153846154,0.6,1.0
Battle Creek St Philip,95949,7,21,14.0,7.0,132.0,124.0,28.0,6.0,22.0,68.0,186.0,16.0,2.0,14.0,24.0,116.0,12.0,4.0,8.0,44.0,70.0,0.6666666666666666,0.21428571428571427,0.125,0.3333333333333333,8.0,-118.0,-92.0,-26.0,0.38095238095238093,-4.214285714285714,-5.75,-2.1666666666666665,0.38095238095238093,-4.214285714285714,-5.75,-2.1666666666666665,2.0,1.0
Bay City All Saints,95887,10,28,18.0,10.0,183.0,90.0,134.0,85.0,48.0,1024.0,549.0,77.0,51.0,25.0,640.0,288.0,57.0,34.0,23.0,384.0,261.0,0.6428571428571429,0.6343283582089553,0.6623376623376623,0.5964912280701754,93.0,475.0,352.0,123.0,3.3214285714285716,3.544776119402985,4.571428571428571,2.1578947368421053,3.3214285714285716,3.544776119402985,4.571428571428571,2.1578947368421053,1.8,1.0
Bay City Central,96053,10,16,6.0,10.0,46.0,80.0,140.0,57.0,81.0,745.0,824.0,79.0,36.0,41.0,433.0,453.0,61.0,21.0,40.0,312.0,371.0,0.375,0.40714285714285714,0.45569620253164556,0.3442622950819672,-34.0,-79.0,-20.0,-59.0,-2.125,-0.5642857142857143,-0.25316455696202533,-0.9672131147540983,-2.125,-0.5642857142857143,-0.25316455696202533,-0.9672131147540983,0.6,1.0
Bay City John Glenn,95704,10,35,25.0,10.0,210.0,99.0,178.0,124.0,51.0,1289.0,598.0,103.0,75.0,27.0,770.0,327.0,75.0,49.0,24.0,519.0,271.0,0.7142857142857143,0.6966292134831461,0.7281553398058253,0.6533333333333333,111.0,691.0,443.0,248.0,3.1714285714285713,3.8820224719101124,4.300970873786408,3.3066666666666666,3.1714285714285713,3.8820224719101124,4.300970873786408,3.3066666666666666,2.5,1.0
Bay City Western,95904,10,33,25.0,8.0,155.0,67.0,169.0,136.0,30.0,1327.0,408.0,98.0,85.0,11.0,741.0,222.0,71.0,51.0,19.0,586.0,186.0,0.7575757575757576,0.8047337278106509,0.8673469387755102,0.7183098591549296,88.0,919.0,519.0,400.0,2.6666666666666665,5.437869822485207,5.295918367346939,5.633802816901408,2.6666666666666665,5.437869822485207,5.295918367346939,5.633802816901408,2.5,0.8
Beal City,96042,10,60,52.0,8.0,529.0,142.0,232.0,186.0,45.0,2161.0,658.0,128.0,109.0,19.0,1217.0,298.0,104.0,77.0,26.0,944.0,360.0,0.8666666666666667,0.8017241379310345,0.8515625,0.7403846153846154,387.0,1503.0,919.0,584.0,6.45,6.478448275862069,7.1796875,5.615384615384615,6.45,6.478448275862069,7.1796875,5.615384615384615,5.2,0.8
Bear Lake,2032944,4,11,7.0,4.0,56.0,47.0,47.0,28.0,17.0,365.0,222.0,22.0,12.0,9.0,176.0,123.0,25.0,16.0,8.0,189.0,99.0,0.6363636363636364,0.5957446808510638,0.5454545454545454,0.64,9.0,143.0,53.0,90.0,0.8181818181818182,3.0425531914893615,2.409090909090909,3.6,0.8181818181818182,3.0425531914893615,2.409090909090909,3.6,1.75,1.0
Beaverton,96073,10,28,18.0,10.0,211.0,129.0,124.0,81.0,41.0,935.0,478.0,63.0,40.0,23.0,453.0,251.0,61.0,41.0,18.0,482.0,227.0,0.6428571428571429,0.6532258064516129,0.6349206349206349,0.6721311475409836,82.0,457.0,202.0,255.0,2.9285714285714284,3.685483870967742,3.2063492063492065,4.180327868852459,2.9285714285714284,3.685483870967742,3.2063492063492065,4.180327868852459,1.8,1.0
Belding,96023,10,13,3.0,10.0,33.0,98.0,82.0,28.0,54.0,411.0,503.0,38.0,15.0,23.0,206.0,244.0,44.0,13.0,31.0,205.0,259.0,0.23076923076923078,0.34146341463414637,0.39473684210526316,0.29545454545454547,-65.0,-92.0,-38.0,-54.0,-5.0,-1.1219512195121952,-1.0,-1.2272727272727273,-5.0,-1.1219512195121952,-1.0,-1.2272727272727273,0.3,1.0
Bellaire,95840,10,28,18.0,10.0,290.0,240.0,70.0,16.0,54.0,226.0,678.0,21.0,4.0,17.0,45.0,227.0,49.0,12.0,37.0,181.0,451.0,0.6428571428571429,0.22857142857142856,0.19047619047619047,0.24489795918367346,50.0,-452.0,-182.0,-270.0,1.7857142857142858,-6.457142857142857,-8.666666666666666,-5.510204081632653,1.7857142857142858,-6.457142857142857,-8.666666666666666,-5.510204081632653,1.8,1.0
Belleville,96250,10,16,6.0,10.0,61.0,93.0,191.0,98.0,91.0,1060.0,963.0,94.0,49.0,43.0,513.0,446.0,97.0,49.0,48.0,547.0,517.0,0.375,0.5130890052356021,0.5212765957446809,0.5051546391752577,-32.0,97.0,67.0,30.0,-2.0,0.5078534031413613,0.7127659574468085,0.30927835051546393,-2.0,0.5078534031413613,0.7127659574468085,0.30927835051546393,0.6,1.0
Bellevue,96123,10,14,4.0,10.0,46.0,141.0,33.0,5.0,27.0,107.0,322.0,16.0,2.0,13.0,38.0,178.0,17.0,3.0,14.0,69.0,144.0,0.2857142857142857,0.15151515151515152,0.125,0.17647058823529413,-95.0,-215.0,-140.0,-75.0,-6.785714285714286,-6.515151515151516,-8.75,-4.411764705882353,-6.785714285714286,-6.515151515151516,-8.75,-4.411764705882353,0.4,1.0
Benton Harbor,96193,8,8,0.0,8.0,16.0,144.0,60.0,15.0,45.0,326.0,566.0,26.0,6.0,20.0,130.0,255.0,34.0,9.0,25.0,196.0,311.0,0.0,0.25,0.23076923076923078,0.2647058823529412,-128.0,-240.0,-125.0,-115.0,-16.0,-4.0,-4.8076923076923075,-3.3823529411764706,-16.0,-4.0,-4.8076923076923075,-3.3823529411764706,0.0,1.0
Benzie Central,96099,10,23,13.0,10.0,161.0,119.0,197.0,94.0,100.0,1221.0,1068.0,91.0,48.0,42.0,600.0,476.0,106.0,46.0,58.0,621.0,592.0,0.5652173913043478,0.47715736040609136,0.5274725274725275,0.4339622641509434,42.0,153.0,124.0,29.0,1.826086956521739,0.7766497461928934,1.3626373626373627,0.27358490566037735,1.826086956521739,0.7766497461928934,1.3626373626373627,0.27358490566037735,1.3,1.0
Berkley,96025,10,14,4.0,10.0,45.0,73.0,208.0,94.0,113.0,1184.0,1245.0,101.0,53.0,47.0,598.0,586.0,107.0,41.0,66.0,586.0,659.0,0.2857142857142857,0.4519230769230769,0.5247524752475248,0.38317757009345793,-28.0,-61.0,12.0,-73.0,-2.0,-0.2932692307692308,0.1188118811881188,-0.6822429906542056,-2.0,-0.2932692307692308,0.1188118811881188,-0.6822429906542056,0.4,1.0
Berrien Springs,95715,10,26,16.0,10.0,107.0,92.0,108.0,54.0,53.0,523.0,529.0,54.0,26.0,27.0,206.0,274.0,54.0,28.0,26.0,317.0,255.0,0.6153846153846154,0.5,0.48148148148148145,0.5185185185185185,15.0,-6.0,-68.0,62.0,0.5769230769230769,-0.05555555555555555,-1.2592592592592593,1.1481481481481481,0.5769230769230769,-0.05555555555555555,-1.2592592592592593,1.1481481481481481,1.6,1.0
Big Rapids,95738,10,16,6.0,10.0,67.0,87.0,170.0,105.0,63.0,1119.0,776.0,87.0,63.0,23.0,632.0,373.0,83.0,42.0,40.0,487.0,403.0,0.375,0.6176470588235294,0.7241379310344828,0.5060240963855421,-20.0,343.0,259.0,84.0,-1.25,2.0176470588235293,2.9770114942528734,1.0120481927710843,-1.25,2.0176470588235293,2.9770114942528734,1.0120481927710843,0.6,1.0
Big Rapids Crossroads Academy,95713,7,9,2.0,7.0,53.0,101.0,80.0,16.0,64.0,367.0,795.0,44.0,9.0,35.0,234.0,440.0,36.0,7.0,29.0,133.0,355.0,0.2222222222222222,0.2,0.20454545454545456,0.19444444444444445,-48.0,-428.0,-206.0,-222.0,-5.333333333333333,-5.35,-4.681818181818182,-6.166666666666667,-5.333333333333333,-5.35,-4.681818181818182,-6.166666666666667,0.2857142857142857,1.0
Birch Run,96027,10,25,15.0,10.0,124.0,108.0,257.0,135.0,119.0,1473.0,1184.0,153.0,87.0,63.0,906.0,662.0,104.0,48.0,56.0,567.0,522.0,0.6,0.5252918287937743,0.5686274509803921,0.46153846153846156,16.0,289.0,244.0,45.0,0.64,1.1245136186770428,1.5947712418300655,0.4326923076923077,0.64,1.1245136186770428,1.5947712418300655,0.4326923076923077,1.5,1.0
Birmingham Brother Rice,95803,6,28,22.0,6.0,181.0,67.0,154.0,123.0,27.0,1092.0,509.0,98.0,77.0,18.0,704.0,335.0,56.0,46.0,9.0,388.0,174.0,0.7857142857142857,0.7987012987012987,0.7857142857142857,0.8214285714285714,114.0,583.0,369.0,214.0,4.071428571428571,3.7857142857142856,3.7653061224489797,3.8214285714285716,4.071428571428571,3.7857142857142856,3.7653061224489797,3.8214285714285716,3.6666666666666665,1.0
Birmingham Groves,95864,10,18,8.0,10.0,102.0,85.0,241.0,146.0,94.0,1533.0,1195.0,131.0,81.0,50.0,814.0,614.0,110.0,65.0,44.0,719.0,581.0,0.4444444444444444,0.6058091286307054,0.6183206106870229,0.5909090909090909,17.0,338.0,200.0,138.0,0.9444444444444444,1.4024896265560165,1.5267175572519085,1.2545454545454546,0.9444444444444444,1.4024896265560165,1.5267175572519085,1.2545454545454546,0.8,1.0
Birmingham Seaholm,96163,10,15,5.0,10.0,56.0,83.0,181.0,88.0,92.0,953.0,938.0,80.0,37.0,42.0,405.0,406.0,101.0,51.0,50.0,548.0,532.0,0.3333333333333333,0.4861878453038674,0.4625,0.504950495049505,-27.0,15.0,-1.0,16.0,-1.8,0.08287292817679558,-0.0125,0.15841584158415842,-1.8,0.08287292817679558,-0.0125,0.15841584158415842,0.5,1.0
