teamName,teamId,team_record_count,playoff_games_played,playoff_W,playoff_L,playoff_runs_scored_total,playoff_runs_allowed_total,regular_season_games_played,regular_season_W,regular_season_L,regular_season_runs_scored_total,regular_season_runs_allowed_total,home_games_played,home_W,home_L,home_runs_scored_total,home_runs_allowed_total,away_games_played,away_W,away_L,away_runs_scored_total,away_runs_allowed_total,playoff_win_pct,regular_season_win_pct,home_win_pct,away_win_pct,playoff_run_diff_total,regular_season_run_diff_total,home_run_diff_total,away_run_diff_total,playoff_run_diff_mean,regular_season_run_diff_mean,home_run_diff_mean,away_run_diff_mean,playoff_run_diff_per_game,regular_season_run_diff_per_game,home_run_diff_per_game,away_run_diff_per_game,playoff_W_per_year,playoff_L_per_year
Michigan Center,96258,10,29,19.0,10.0,144.0,104.0,127.0,81.0,46.0,881.0,596.0,66.0,48.0,18.0,510.0,302.0,61.0,33.0,28.0,371.0,294.0,0.6551724137931034,0.6377952755905512,0.7272727272727273,0.5409836065573771,40.0,285.0,208.0,77.0,1.3793103448275863,2.2440944881889764,3.1515151515151514,1.2622950819672132,1.3793103448275863,2.2440944881889764,3.1515151515151514,1.2622950819672132,1.9,1.0
Middleville Thornapple Kellogg,96065,10,22,12.0,10.0,88.0,89.0,85.0,27.0,58.0,347.0,547.0,44.0,15.0,29.0,209.0,274.0,41.0,12.0,29.0,138.0,273.0,0.5454545454545454,0.3176470588235294,0.3409090909090909,0.2926829268292683,-1.0,-200.0,-65.0,-135.0,-0.045454545454545456,-2.3529411764705883,-1.4772727272727273,-3.292682926829268,-0.045454545454545456,-2.3529411764705883,-1.4772727272727273,-3.292682926829268,1.2,1.0
Midland,96109,10,27,17.0,10.0,120.0,90.0,240.0,168.0,72.0,1703.0,887.0,116.0,89.0,27.0,843.0,399.0,124.0,79.0,45.0,860.0,488.0,0.6296296296296297,0.7,0.7672413793103449,0.6370967741935484,30.0,816.0,444.0,372.0,1.1111111111111112,3.4,3.8275862068965516,3.0,1.1111111111111112,3.4,3.8275862068965516,3.0,1.7,1.0
Midland Bullock Creek,96284,10,18,8.0,10.0,91.0,76.0,100.0,75.0,24.0,725.0,332.0,44.0,33.0,11.0,330.0,135.0,56.0,42.0,13.0,395.0,197.0,0.4444444444444444,0.75,0.75,0.75,15.0,393.0,195.0,198.0,0.8333333333333334,3.93,4.431818181818182,3.5357142857142856,0.8333333333333334,3.93,4.431818181818182,3.5357142857142856,0.8,1.0
Midland Dow,95785,10,20,10.0,10.0,91.0,97.0,147.0,80.0,65.0,1009.0,686.0,88.0,55.0,32.0,621.0,395.0,59.0,25.0,33.0,388.0,291.0,0.5,0.54421768707483,0.625,0.423728813559322,-6.0,323.0,226.0,97.0,-0.3,2.197278911564626,2.5681818181818183,1.6440677966101696,-0.3,2.197278911564626,2.5681818181818183,1.6440677966101696,1.0,1.0
Milan,95817,10,22,12.0,10.0,69.0,75.0,217.0,137.0,79.0,1327.0,799.0,111.0,76.0,35.0,688.0,369.0,106.0,61.0,44.0,639.0,430.0,0.5454545454545454,0.631336405529954,0.6846846846846847,0.5754716981132075,-6.0,528.0,319.0,209.0,-0.2727272727272727,2.4331797235023043,2.873873873873874,1.971698113207547,-0.2727272727272727,2.4331797235023043,2.873873873873874,1.971698113207547,1.2,1.0
Milford,96117,10,17,7.0,10.0,68.0,100.0,172.0,69.0,101.0,877.0,1012.0,83.0,35.0,47.0,410.0,511.0,89.0,34.0,54.0,467.0,501.0,0.4117647058823529,0.4011627906976744,0.42168674698795183,0.38202247191011235,-32.0,-135.0,-101.0,-34.0,-1.8823529411764706,-0.7848837209302325,-1.216867469879518,-0.38202247191011235,-1.8823529411764706,-0.7848837209302325,-1.216867469879518,-0.38202247191011235,0.7,1.0
Millington,95989,10,18,8.0,10.0,71.0,96.0,224.0,115.0,103.0,1362.0,1182.0,114.0,66.0,45.0,819.0,587.0,110.0,49.0,58.0,543.0,595.0,0.4444444444444444,0.5133928571428571,0.5789473684210527,0.44545454545454544,-25.0,180.0,232.0,-52.0,-1.3888888888888888,0.8035714285714286,2.0350877192982457,-0.4727272727272727,-1.3888888888888888,0.8035714285714286,2.0350877192982457,-0.4727272727272727,0.8,1.0
Mio,407870,9,20,11.0,9.0,136.0,143.0,173.0,94.0,76.0,1045.0,901.0,73.0,42.0,30.0,373.0,324.0,100.0,52.0,46.0,672.0,577.0,0.55,0.5433526011560693,0.5753424657534246,0.52,-7.0,144.0,49.0,95.0,-0.35,0.8323699421965318,0.6712328767123288,0.95,-0.35,0.8323699421965318,0.6712328767123288,0.95,1.2222222222222223,1.0
Mio-Au Sable,95959,1,3,2.0,1.0,16.0,9.0,19.0,14.0,5.0,156.0,94.0,9.0,7.0,2.0,61.0,50.0,10.0,7.0,3.0,95.0,44.0,0.6666666666666666,0.7368421052631579,0.7777777777777778,0.7,7.0,62.0,11.0,51.0,2.3333333333333335,3.263157894736842,1.2222222222222223,5.1,2.3333333333333335,3.263157894736842,1.2222222222222223,5.1,2.0,1.0
